uproc,diamond
59264,57464
28215,18231
39076,32006
34907,31684
73784,75024
47117,42520
48749,10196
44624,46552
72928,65242
71793,48224
59168,50177
65918,52208
84751,48004
74556,70370
57691,9061
83191,121498
93118,85945
155083,134177
80749,78775
40068,31130
85321,77092
55461,54627
24969,21944
73783,86190
104726,85875
49909,53649
48182,59668
47663,44879
69979,51579
49860,32785
39016,32778
40532,38293
28958,24823
94195,118052
61861,53114
37794,33579
42311,31518
43009,43498
57017,61803
37022,61106
88668,64091
69696,68923
31555,19706
59746,43338
74802,77921
46416,42744
60850,57216
97722,78659
55795,34387
78262,66810
59476,124525
54475,48196
65149,54849
68570,18525
100716,105695
77996,59363
58517,55676
47187,38849
51714,65382
68752,97349
95933,82021
73067,74184
58893,38910
64135,65162
48368,47232
36069,26548
9142,11617
55214,41926
92086,77694
41671,35546
51314,39161
49651,29876
39955,28769
70974,60347
75186,35620
57558,37614
83977,64261
36790,34989
38607,26774
69598,54598
44735,39727
43905,41100
23172,22013
49907,40699
83238,82820
78672,61497
99707,86190
35146,38125
61556,59613
37160,68069
78425,53916
62086,35093
37317,32596
37500,31927
36480,36377
126137,118034
43196,50643
46211,35308
60691,55343
60468,67065
48823,15835
30395,30506
75914,48976
44139,28288
56413,70984
49927,29090
51985,50801
53299,34644
32375,29960
38512,28947
69403,47781
60204,39936
80259,71662
20909,10809
33453,29179
34629,34099
58957,46475
26038,19332
41442,38004
64368,65371
23044,34525
56431,79602
55979,52081
9199,80
49157,19935
30965,24293
91895,106519
16451,16785
39081,48384
28878,43999
57428,42299
76679,64898
63112,51975
34802,25285
46926,35244
32376,31401
55966,51539
65063,58000
47771,28322
40406,30722
31957,18932
42495,41065
29363,9273
60075,59148
30129,47958
31846,20665
21403,17630
14657,15829
28007,24576
58487,45535
63320,52836
63254,60838
58908,52557
36092,30643
70229,110713
55748,45840
51146,35535
63396,59900
29836,26393
66067,55715
33292,55963
48827,35326
66151,77771
56213,41429
47297,42710
33416,25329
9026,8779
74802,80399
36912,50044
33933,25462
40354,38662
63144,53127
42246,30769
29288,14035
48287,34699
40805,34344
42174,79027
24580,20753
26143,5788
81598,74223
59332,44108
44533,2811
46148,39230
39885,36604
46305,46463
35605,35146
33516,22946
50529,41454
50326,40829
40371,55134
34280,41477
37640,40559
77247,66873
45630,41524
30635,31345
36759,41747
44911,36630
64513,43471
47189,43906
35185,45351
61515,55085
56059,44321
31549,28950
39389,29477
34274,27377
93818,87689
61652,65401
41533,26870
75304,96081
41227,29336
42468,36424
60010,93129
53640,52393
40133,30789
54594,52399
29427,36449
16182,12486
18146,8472
53322,73176
58901,46394
18140,50664
37825,29041
34095,30721
46248,32750
107279,143594
29103,20994
59748,49428
38348,36098
38377,32472
34002,25310
45402,28752
29479,23962
48516,43230
38299,28804
29230,22510
43379,38495
16550,9599
50463,35917
58393,48146
87052,69976
56461,44406
53770,28819
32900,28666
17443,15483
31593,30172
44463,39418
90200,92246
26182,21760
65176,57375
56085,46876
25465,8478
66517,75843
34816,32738
41749,29381
54996,58724
50514,55709
32857,26223
21378,19416
57670,55050
59256,42310
31110,30690
18542,11289
40879,35838
24123,26571
39671,41495
68312,54749
29188,28227
30221,31400
63901,56190
23807,9876
58640,22568
23364,19003
31793,21750
37183,34742
22421,13786
24165,22855
15618,7521
45632,28968
34386,37635
11320,5209
41634,28099
85780,79454
23128,17617
25877,23623
58018,56339
57329,61064
74536,69837
55028,42393
38729,32624
68017,56931
23714,19071
27698,21898
39917,43437
31013,31077
23446,23224
42195,47898
41116,37077
46654,63168
33204,11542
19417,15918
28425,24843
32944,30671
37703,35541
55186,48702
16726,2452
12566,20132
96486,85242
18330,17685
49791,51314
32671,27054
29584,18669
58984,88853
41652,36181
23009,2472
35244,34786
75633,71551
59681,53744
48894,41242
18548,9570
42017,33042
13495,11593
23112,15795
44172,30842
15823,7702
52313,79519
38830,33996
38704,28319
50594,40748
38650,40992
37958,38585
48426,39620
52609,63077
18096,9379
34521,34485
17866,283
32281,27598
30834,28222
36847,31498
108627,90250
27198,29267
37117,36014
31980,39497
57882,57789
48780,59598
42029,25060
47694,52754
16299,6991
35303,27273
79087,72934
70480,122773
58809,84138
26067,22592
28879,38079
36269,29076
41395,44432
44406,38859
42909,39423
21539,18224
37211,28169
34530,35467
40976,30946
27919,24128
26802,29982
56330,86375
66657,60810
45638,41221
20278,16585
31198,34380
47675,34361
21896,14686
43751,39035
60318,141738
15229,21680
39386,42012
46080,38764
11584,2801
10192,9518
33801,42970
24057,19470
35455,16462
40805,34540
22485,20992
57691,59919
18269,8950
53837,52901
46884,31958
26491,27267
34258,62216
48930,62515
14789,8334
33316,27858
34576,28376
45831,43180
43857,22183
37838,36380
26643,4953
45682,34671
23857,16280
26932,15742
64002,78327
90987,76048
38385,33681
23789,11759
20153,14343
24165,27094
24686,23303
21787,22294
23372,17767
20167,12654
25053,15269
57894,71503
24137,25417
18703,31528
25509,24934
31648,30509
49896,60184
11217,3905
41948,32077
50585,69455
28229,22335
23606,32356
14433,14164
23730,22740
49506,62303
50398,47968
32989,32708
21336,17213
31385,27536
50308,48800
24680,25593
15896,11159
32552,29306
53392,44576
49844,44851
33478,18343
13094,8177
48202,35478
20163,16391
37522,18886
49855,55498
46835,42569
28824,28245
11239,11388
43963,32230
83614,72480
21042,18071
30932,22287
60589,56004
25823,12787
30140,29212
20544,36293
38470,46554
48501,33945
53546,41731
14108,4002
29239,20283
35010,34906
14499,12783
36830,44857
21153,20419
26001,23595
33035,12983
13635,12876
39922,30127
27894,22042
52374,129312
57891,54559
59484,58207
35383,28479
34397,27702
35895,36948
65336,59826
62814,60451
27222,29269
26364,24284
47932,108964
24757,9499
47622,41539
25244,19249
33229,26080
15785,18140
56883,46813
37096,20507
18516,14966
37304,10541
68692,67149
29202,30122
21646,19687
40736,51271
17613,15592
52168,48722
11611,3934
34349,43459
22927,17794
26119,37964
17609,15612
9288,2080
26117,12840
17855,17461
31429,26427
45982,37399
47161,64278
42687,73517
21745,20078
19573,21359
15242,10545
13851,18853
23125,19706
20403,22632
33493,31862
22832,28957
15285,15768
34930,28539
25869,26875
17549,3837
23557,19350
31778,19157
26724,11559
27101,36837
54849,56799
42909,38132
37004,35626
22561,31744
22061,19825
27838,16576
20942,16928
9881,8496
16913,17544
45207,28515
18852,16329
22148,20419
22603,21994
27306,22488
19931,26324
18280,17286
45049,41197
37990,31521
48053,42716
31683,25477
16721,15297
49246,45736
18019,29440
40262,44415
25182,20151
28162,26106
31824,26599
27503,22453
20642,42292
24091,30813
53278,43626
33347,31835
41698,40295
46256,41831
29291,28661
24522,22019
12224,12362
34043,32762
14367,9990
36288,37972
31944,18468
27971,26097
23867,20648
26263,26045
9933,10277
26486,8250
22468,19460
30203,29321
31053,26511
23667,29592
26726,29474
19138,27133
22969,17671
13573,12397
52764,40032
50525,40073
24525,19994
11944,9404
11301,9700
16787,13818
35436,31097
19325,18397
9574,10050
2685,4196
16714,11023
44656,36228
14916,5061
15227,9415
5161,6138
42068,92400
32032,30579
22846,22333
19006,19312
16843,19822
18568,17512
17913,16841
41703,110317
12578,28143
20612,19006
10121,4665
10672,11915
55227,54402
7863,10575
33036,25437
45704,38938
8189,5569
15131,23059
11623,10430
18423,19596
37919,34200
7309,7849
38046,31081
33343,26187
28657,25965
38174,71492
43610,40606
31025,23995
12558,2123
9122,7226
31194,28476
21639,20353
49966,67310
36916,25359
24250,18824
7911,9153
5162,6237
14544,10806
18515,28979
11147,29515
22171,7976
12379,11568
19182,15429
52364,50347
20825,22012
19544,16482
18629,15942
7731,9256
18355,14876
14022,10146
20183,38916
19492,18207
22211,17479
23999,18961
23081,22217
61029,111856
41516,43772
39412,41223
4216,66
19128,22373
14365,10676
23302,22870
21661,21520
29558,27008
34399,29548
9859,9766
19481,17810
31493,32326
23839,20651
10526,8037
19178,19418
30870,25331
12624,11235
9953,5946
21181,24175
45879,43909
17491,15602
10312,4062
48946,65474
28760,27936
13663,13146
13401,12380
33310,29566
9726,8857
12311,17237
19569,27913
19439,27579
6732,1738
20551,18712
12944,10247
26537,17069
29717,32488
11534,9483
41691,34389
12650,11548
33669,66385
15208,6162
14781,8597
16408,14033
8440,8059
11278,11016
17164,14628
21390,15197
7545,691
23340,18453
35993,47105
40040,52580
108596,106062
14648,10591
47222,33116
30059,26222
12752,12654
36847,23404
15757,16103
34976,30350
8126,7488
12390,9253
35621,42768
13551,1247
12266,22300
12791,9179
42790,34473
21968,16551
30480,26273
34445,18275
20759,21305
14973,14529
30226,24933
13983,7856
26347,22043
12645,8180
16926,13733
6319,2486
27685,32250
17547,24557
19413,10672
6511,5308
30502,43483
14147,10950
17716,19530
9885,8719
16062,14057
37345,33703
32014,30611
27106,28305
48724,68600
35550,30269
12823,14686
15986,14635
23460,21851
9920,8900
32239,24801
8689,6075
9960,9817
27083,27271
9561,5452
5413,11733
32305,14278
5199,1264
9267,8251
16799,22172
9316,9225
12028,12029
8883,9810
12301,10150
10032,12953
41225,37723
18599,60316
26062,17107
30558,59088
13431,13037
14942,7763
13015,9189
16218,17267
39013,33967
26380,28355
44279,40083
17299,11341
25372,26525
15950,13375
15598,25231
50358,55082
15785,35325
25431,29155
16977,17073
14340,13451
27448,23918
27875,29863
7979,6286
16112,17871
26573,27111
16248,14713
6360,7390
15282,13658
18150,35183
5554,1613
29344,36521
16670,14807
7132,99
28181,50091
36122,41074
29571,29983
18423,16884
16409,17204
34093,28673
14548,250913
6978,6219
8717,7716
6966,1016
9681,15255
30907,27107
9784,6979
15273,15558
20753,18149
12833,14877
15551,16573
31655,28988
17559,13766
46689,98290
14126,8989
10687,6880
24802,25478
11710,1665
13427,10821
18338,12222
32877,18030
16329,22729
26156,21760
20218,19509
19416,16590
19144,17207
9268,8616
25341,23075
16724,13328
23963,19750
17465,18293
39135,34497
20291,24412
32419,56860
7509,3843
14397,16345
19416,17047
10090,13708
9666,6690
10239,10488
20527,17286
27768,12179
13459,11662
14833,6976
5232,2859
8964,9685
4689,4088
23037,18517
5275,7546
22580,21696
15534,14209
17241,30915
21445,13853
36225,35701
19941,17276
