uproc,tara
155,58
155,5
155,22
154,43
154,27
154,40
154,6
154,16
153,137
153,13
153,44
153,63
153,47
152,4
152,4
151,29
151,1367
151,27
151,64
151,56
151,53
150,33
150,23
150,19
150,10
150,20
150,22
149,37
149,318
149,34
149,44
148,36
148,73
147,20
147,15
147,28
147,16
147,23
146,26
146,51
146,10
146,19
146,28
146,26
146,26
145,19
144,103
143,25
143,9
143,41
143,244
143,125
143,119
142,32
142,4
142,6
142,36
142,30
142,7
142,19
141,19
141,27
141,40
140,150
140,6
140,21
140,46
140,13
139,46
139,23
139,54
139,5
139,18
139,14
139,8
139,110
138,66
138,169
138,153
137,30
137,39
137,7
137,87
137,37
137,15
137,10
136,46
136,14
136,60
135,56
135,54
135,111
134,50
134,272
134,49
133,32
133,46
132,46
132,28
132,23
132,26
132,21
132,2
131,22
131,309
131,9
131,12
131,49
131,8
131,46
131,50
131,22
131,5
131,22
131,28
130,56
130,40
129,18
129,7
129,26
129,19
129,21
129,24
129,4
128,15
128,1
128,9
128,19
128,15
128,4
128,10
128,197
127,70
127,4
127,32
127,30
127,1
127,28
127,126
127,2009
127,66
127,16
126,36
126,21
126,12
126,14
126,31
125,20
125,7949
125,12
125,17
125,22
125,30
124,10
124,38
124,19
124,1
124,9
124,27
124,104
124,8
123,11
123,20
123,19
123,123
123,40
123,3
123,8
123,15
122,21
122,14
122,34
122,24
122,148
122,33
122,30
122,123
121,29
121,15
121,63
121,78
121,41
121,7
121,17
120,27
120,1
120,15
120,12
120,28
119,23
119,14
119,38
119,46
119,268
118,5
118,36
118,2
118,16
118,17
118,1
118,13
117,29
117,9
117,11
117,75
116,9
116,42
116,13
116,1
116,1
116,37
116,90
115,14
115,14
115,55
115,43
114,15
114,83
113,21
113,11
113,11
113,26
113,9
113,5
112,24
112,24
112,40
112,178
112,2
112,11
112,40
112,14
111,34
111,24
111,34
111,20
110,34
110,82
110,69
109,28
109,30
109,27
109,52
109,454
109,35
109,9
109,13
108,13
108,14
108,27
108,125
108,10
108,32
107,63
107,19
107,43
107,4
107,24
107,29
107,24
106,19
106,2
106,24
106,18
106,21
106,57
106,35
106,5
106,62
105,47
105,45
105,59
105,10
105,12
105,12
105,22
104,79
104,23
104,15
104,2
103,51
103,12
103,766
103,18
103,21
102,6
102,11
102,9
102,9
102,13
102,773
102,8
102,58
102,41
101,9
101,11
101,3
101,14
101,9
101,14
100,54
100,13
100,58
100,21
100,55
100,17
100,19
99,36
99,7
99,45
99,23
98,15
98,119
97,17
97,30
97,27
97,423
96,15
96,28
96,16
96,36
96,34
96,22
95,10
95,28
95,45
95,55
95,19
95,14
95,7
94,8
94,20
94,30
94,5
94,20
94,32
94,28
93,88
93,35
93,18
93,18
93,10
93,10
93,46
92,131
92,35
92,18
92,70
92,19
92,31
91,33
91,294
91,32
91,30
91,19
91,68
91,14
90,34
90,23
90,27
90,12
90,20
90,2
90,130
90,10
89,4
89,22
89,18
89,21
89,17
89,1158
89,22
88,1
88,1
88,6
88,82
88,25
88,231
88,20
87,23
87,43
87,11
87,13
87,18
87,18
87,18
86,12
86,13
86,81
86,2
86,34
85,15
85,13
85,9
85,12
85,13
85,13
85,34
85,108
84,42
84,40
84,5
84,12
84,33
84,90
84,22
84,30
83,12
83,2
83,18
83,66
83,22
83,4
83,30
82,12
82,16
82,2
82,16
82,8
82,356
82,10
82,13
82,14
81,141
81,18
81,8
81,12
81,7
81,16
81,16
81,72
81,22
81,2
81,1556
80,5
80,40
80,2
80,43
80,8
79,30
79,64
79,49
79,43
79,26
79,2
79,30
79,7
78,5
78,9
78,34
78,34
78,55
78,12
77,52
77,28
77,24
77,14
76,108
76,19
76,64
76,12
76,10
76,12
76,7
76,29
75,24
75,12
75,35
75,23
75,5
75,36
75,41
74,13
74,14
74,33
74,4
74,12
74,28
74,24
74,2
74,307
74,15
74,14
74,25
74,16
73,16
73,16
73,8
73,19
73,7
73,79
73,22
73,10
73,4
73,9
72,18
72,32
72,22
72,4
72,15
72,12
72,25
72,15
71,19
71,8
71,12
71,20
71,13
71,30
71,5
70,42
70,3
70,16
70,25
70,13
70,5
70,502
70,15
70,15
70,5
70,120
69,9
69,42
69,1
68,16
68,94
68,12
68,13
68,13
68,5
67,20
67,6
67,52
67,20
67,62
67,12
67,18
67,8
67,1
67,27
66,255
66,11
66,16
66,38
66,111
66,2
66,14
66,7
66,32
66,18
66,5
65,97
65,28
65,9
65,90
65,26
65,9
65,9
65,11
65,62
65,21
65,131
65,28
64,24
64,32
64,13
64,7
64,17
64,7
64,32
64,21
64,11
64,8
63,5
63,20
63,17
63,2
63,12
63,288
63,21
62,11
62,39
62,4
62,16
62,9
62,107
62,35
62,1
62,14
62,22
62,3
61,18
61,4
61,29
61,4
61,60
61,18
61,6
61,7
61,3
60,14
60,5
60,34
60,1
60,5
60,47
60,8
60,35
60,34
60,194
60,45
60,3
60,34
59,52
59,14
59,4
59,10
59,15
59,24
59,16
58,5
58,18
58,10
58,22
58,111
58,3
58,3
57,13
57,4
57,7
57,10
57,15
57,28
57,6
57,13
56,6
56,24
56,22
56,38
56,22
56,152
56,15
56,46
55,9
55,185
55,142
55,24
55,8
55,4
55,16
55,3
54,3
54,16
54,5
54,6
54,3
54,103
54,38
54,34
54,4
54,2
54,43
54,2
54,18
54,20
53,28
53,1966
53,5
53,10
53,28
53,12
53,28
53,4
52,28
52,4
52,35
52,431
52,10
52,19
52,3
51,20
51,6
51,13
51,43
51,53
51,23
51,12
51,20
51,36
51,66
51,13
50,22
50,32
50,1
50,379
50,15
50,4
50,21
50,6
49,38
49,24
49,21
49,7
49,95
49,54
49,4
48,16
48,7
48,18
48,22
48,1
48,10
48,372
47,8
47,21
47,6
47,24
47,12
47,12
47,22
47,16
47,13
47,16
47,4
47,27
46,2
46,1
46,25
46,7
46,58
45,1
45,5
45,5
45,11
45,55
45,6
45,8
45,1
45,46
45,6
44,22
44,42
44,40
44,2
44,15
44,11
44,14
44,4
44,5
44,2
44,30
43,10
43,5
43,5
43,68
43,45
42,13
42,28
42,10
42,18
42,14
42,4
41,1
41,13
41,19
41,15
41,1
41,8
41,13
41,74
41,2
41,1
41,23
41,56
40,3
40,332
40,19
40,52
40,3
40,2
40,4
39,56
39,11
39,1
39,10
39,1
39,14
39,42
38,3
38,9
38,24
38,119
38,42
38,2
38,22
38,4
38,21
37,14
37,7
37,33
37,12
37,13
37,2
36,4
36,4
36,3
36,7
36,25
36,20
36,1152
36,73
36,3
36,16
36,416
36,2
36,26
35,10
35,12
35,12
35,6
35,10
35,48
35,8
35,12
35,4
35,31
35,337
35,2
35,3
34,7
34,2
34,4
34,11
34,20
34,6
34,2
34,7
34,19
34,3
34,8
34,4
34,3
34,50
34,3
34,1
34,1
34,10
34,3
34,28
33,8
33,79
33,122
33,20
33,8
33,11
33,14
33,16
32,2
32,73
32,1
32,10
32,10
32,547
32,6
32,2
32,34
32,2
32,9
32,44
31,4
31,6
31,36
31,24
31,13
31,1
31,1
31,30
31,5
31,8
31,6
31,16
31,40
31,1
30,3
30,4
30,149
30,1
30,16
30,6
30,40
30,4
30,1
30,15
30,2
30,27
30,4
30,10
29,444
29,1
29,11
29,4
29,1
29,2
29,1
29,127
29,387
29,2
29,7
29,3
29,11
29,1
28,44
28,1
28,18
28,12
28,58
28,2
28,2
28,12
28,38
28,21
28,2
28,28
28,1
27,4
27,4
27,6
27,5
27,30
27,70
27,12
27,4
27,7
27,48
27,9
26,36
26,6
26,3
26,1
26,1
26,8
26,3
26,10
26,34
25,5
25,18
25,4
25,14
25,10
25,2
25,1
25,14
25,5
25,2
25,2
25,2
25,7
25,2
25,14
25,16
25,3
24,1
24,6
24,19
24,38
24,3
